"Id","MSZoning","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","FireplaceQu","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","SaleType","SaleCondition","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","SalePrice"
1,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD","Normal",1.55086119663455,-0.718169012174344,1.8393173056262,-1.55161595812355,0.367086170329965,1.47490814840433,-0.605614941175326,-0.0989240214744456,0.00702237343230977,-0.0703425677040426,-0.585524175264831,0.243172242534682,-0.592910845276512,-0.110176628654569,0.199202690909272,0.33562087867848,0.93763233027955,1.22921971053608,-0.414894066596345,0.602115258604733,-0.386660325362138,0.319936792656356,0.0346856271503331,0.148688777947543,0.200954823896386,-0.275956394010015,-0.686653864757523,0.0793366047554292,0.185719790082795,-0.102055117675913,208500
2,"RL","Pave","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","Gd","TA","Gd","ALQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","WD","Normal",0.00496159128894428,1.36710806039989,-1.08096301790872,-0.309438344924154,-1.57277605093259,-1.53518168295232,1.9981275406499,2.42034209114372,0.746299687978931,-0.900342123416988,0.402164868498766,1.01952754491377,0.543138908506176,0.387652706334754,1.72619872193686,0.729986142848458,1.2146806809646,0.535190805229297,0.597166132601091,0.416418446538336,1.04129202347952,-0.637709427243126,-0.0171506183818423,-0.490627202467277,0.125168728303276,-0.175982712160296,0.469344320756496,1.15636491808503,-0.322347212268678,-0.139185409729992,181500
3,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Mn","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","WD","Normal",1.72938045961768,-0.534319499659833,1.55151538808841,-1.12213800762667,-0.114323786687611,-0.0411105421378821,-0.873001070045405,-0.410635504280755,0.250495750194407,0.707760284543095,0.0319749425140856,0.0486884309603466,-0.151841977139837,0.107140839020206,-0.226615445919193,0.366254297067375,0.274751771795427,-0.741792596367932,-0.133673926288022,0.445343382123435,-0.967613022309963,-0.405945252382432,0.0281718716143705,0.136084104851262,0.104651959650777,0.24028127413227,-0.770992758665486,0.478499487378667,-0.443063497553772,-0.0957447071870827,223500
4,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story","Gable","CompShg","Wd Sdng","Wd Shng","None","TA","TA","BrkTil","TA","Gd","No","ALQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Gd","Detchd","Unf","TA","TA","Y","WD","Abnorml",-0.30865484892081,-0.993999405977264,-0.863722325629387,-0.423472703380988,0.0230191092134877,0.818532374477321,-0.486846471867149,-1.0851855587219,-2.54871986907636,0.85172212094212,0.601652738502562,1.44764546718861,1.98593508074417,-0.804872894739176,-1.45217481916296,1.30275056611738,0.163146371167862,1.51842168013149,0.907544484835121,1.26307797283724,1.13066141494263,0.00389507635235892,0.106340472336669,0.21717379194394,0.119550965138032,1.12783470185458,-1.0060073544003,-0.515158878287211,1.0022586514341,-0.773419941514988,140000
5,"RL","Pave","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","TA","Attchd","RFn","TA","TA","Y","WD","Normal",4.46092160929113,-1.3879889810762,0.381842789285974,-1.32341901254438,-0.16087389352011,-0.590567008690455,-0.910819665990876,-0.00509401578133773,0.712212674592092,1.3043793968717,0.302410533835658,-0.062183895738436,0.528041346153737,0.538021574951284,-0.17017216529357,0.652133616322761,0.257256253306228,-0.990544012107309,-0.779288264949737,-0.534487443157713,-0.199782497524301,0.382421213554577,-0.121553949374823,0.496338634289519,0.0126422225660666,0.650658702023128,-0.606541480533057,-0.0445416940524865,0.296629039947546,0.0838130882281109,250000
6,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","Wood","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Fa","Attchd","Unf","TA","TA","Y","WD","Normal",-0.526976812952165,2.06331056279136,1.32628593877986,-1.3761110657783,-0.693601819253723,0.652783150289276,1.96979693725119,0.501136255287429,4.12505836131868,5.19493510015612,1.1298495615054,5.85502160252092,-6.2275168415942,-0.236248180564118,-5.95615220177198,-1.57315457115429,-2.63623223473128,0.154032980386943,-0.343012009133189,0.312658079944471,0.292494344909409,0.907211475748791,1.09764627746548,-0.42249517092924,-0.5592549993141,-0.412118368514169,-0.61060532360716,-0.28211307188925,-0.0813617925877773,-0.482997589598929,143000
7,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Ex","TA","Av","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","WD","Normal",3.27410168929346,2.37537169324515,-0.104018479719303,-0.154572756927992,0.794424718115091,-0.568111709810375,0.340344763379341,0.117621786999551,0.0434578934468997,0.931647479607172,-0.0131951725013817,-0.323880456440454,0.341716111724745,0.357082430705549,0.869490455054123,-0.347133211742453,0.496557621857071,-0.228090201964794,-0.420620727457157,0.830170024843717,0.537997880781501,-0.0229238159405245,-0.452171250530698,-0.113314690497004,0.383150239803374,-0.253390772805404,0.189412866095275,-0.0423816646850297,0.515037527101505,0.142948901319636,307000
8,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story","Gable","CompShg","HdBoard","HdBoard","Stone","TA","TA","CBlock","Gd","TA","Mn","ALQ","BLQ","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","TA","TA","Y","WD","Normal",2.18138423930162,-1.08508531808739,-1.47406996185222,-2.48680976885354,-0.50373832452779,0.119451599608079,0.61476186097893,-1.42775411882164,-0.92908731584332,1.31133803613292,-0.362091888647651,-0.0209294635827994,1.25971787806483,-0.479746722807495,-1.7144922179146,0.362705862813706,0.890440932958551,-2.48500251663243,0.0463626785952954,-0.0102717306543263,0.915252824087547,0.333104712510469,-0.405721434094677,-1.32199235217329,0.270105433291227,0.617829613726663,0.122418461612057,1.13146970891057,-0.28970093729325,-0.223955602441894,200000
9,"RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin","Gable","CompShg","BrkFace","Wd Shng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Gd","Y","FuseF","TA","Min1","TA","Detchd","Unf","Fa","TA","Y","WD","Abnorml",-0.870843173336034,-2.72011576826828,-1.93106259085757,0.84627120284551,2.45715813461488,0.442941285663666,0.65673805479311,-0.316810649293533,-1.20627620123628,-0.755945493241405,1.28650895439451,1.29566462102137,2.02909665932542,-0.844593772327632,-1.18717742581636,0.19755988067589,-1.33483349841384,-0.366164396348206,1.30471812941396,0.0518689300714754,1.0915201880312,-1.63954680337507,-0.179134171141356,-2.07613381802157,0.973769714944908,-0.893881840908947,-1.66419928108996,1.26513281644958,0.974188381796565,0.0297296876158174,129900
10,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","BrkTil","TA","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","TA","Attchd","RFn","Gd","TA","Y","WD","Normal",-3.03747249991644,0.304358216307667,-0.796823204713084,-1.95593765701189,4.45422883905771,0.237267728055537,1.14543871086387,-0.556943856040989,-0.194141233280832,-1.538898894482,0.579918161717199,0.84965214482124,0.464304140022381,-0.7402735243732,0.405325422095045,-0.960516464827973,-1.12452155304272,0.649924119641056,2.02113985318623,-1.19806354187352,-0.238328415263865,-2.43599519895505,0.661167482164072,-1.33100731528053,-0.24573504906971,0.74387360441001,0.103491011193999,0.656492372519438,0.236648110729353,0.0845396724133281,118000
11,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Fa","Detchd","Unf","TA","TA","Y","WD","Normal",-2.2489810015901,1.82535041208224,-0.600435811299512,-0.370449673127754,0.925339309323006,1.33306500750635,-0.804695160934971,0.0272652363073988,0.212381494269229,-0.0950057416753032,-0.6332314792013,0.353891071213877,-0.509874506104532,0.319959472128399,0.726500991633221,-0.086199366096951,0.703605769344135,0.866860731575201,-0.255042087380522,0.638071764022154,0.191625431400819,-0.0572136994933452,0.0923263436894826,0.702901841078582,0.087045680568786,0.0768921914844878,-0.107561021442055,0.169239554893111,0.210561796108221,-0.015191819539603,129500
12,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","Hip","CompShg","WdShing","Wd Shng","Stone","Ex","TA","PConc","Ex","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Gd","BuiltIn","Fin","TA","TA","Y","New","Partial",5.34787234683662,-1.36142540091555,-0.0263151477263799,-1.48601539005115,0.541118453450345,-0.677964922666146,-0.309805915234253,0.200117846395418,0.0784456014162063,0.975535292078846,0.777274619659021,0.367015651695808,0.628258047120866,0.265680222301496,0.834348209543506,0.0269551835867016,0.373190729661304,0.761096345445646,0.125157025203355,1.53070274044087,-0.118398864613311,-0.867785868544516,-2.34454789900069,0.220911176006455,-0.0754237170823096,0.45900512516085,-0.905478012754414,-0.00113288504609795,0.822655221193753,-0.277386126473292,345000
13,"RL","Pave","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","Plywood","None","TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Ex","Detchd","Unf","TA","TA","Y","WD","Normal",-2.65235865511327,2.37896771051871,-0.827860231309121,-0.812186087904333,-0.232396719982405,-0.671623591454669,-0.953532267730626,-1.05946246078781,1.05659372300738,-0.111036740594561,0.432275080812961,-0.632179148634997,-0.780617477406327,0.0567894503139691,1.0213609675855,0.683581423484269,-1.29094049966714,-0.578554784918508,-0.108454834196225,0.444405037125454,0.403042562302475,1.45595767302334,0.27101805545707,-0.208514911047564,-0.243431025259983,-0.183047773713854,-0.337799372454194,0.746575666014018,0.101448833037383,-0.227857682889558,144000
14,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Gd","Attchd","RFn","TA","TA","Y","New","Partial",3.13708217787616,0.602673784893185,0.548923371769534,3.14185301086834,-0.699185754052991,-0.535900749867225,-0.466974157996886,0.465074905988131,-0.0178590111085263,0.217867834692642,0.436739744048636,0.153387128035045,0.791167483522629,0.343302128415218,0.0803088233830115,0.219946589748713,-0.668976667096949,0.0912857102529704,-0.261301440616769,-0.37802665023324,-0.136489702493975,-0.0954075318354163,-0.480639763800425,-0.359595782661663,0.118369358144024,0.826729126170166,-0.101986240686133,-0.308894384063395,-0.306813538548097,0.024477097165815,279500
